date,name,mobility
2020-02-19,Banyule (C),1.368421052631579
2020-02-19,Bayside (C),1.4102564102564101
2020-02-19,Boroondara (C),1.4523809523809523
2020-02-19,Brimbank (C),1.3125
2020-02-19,Cardinia (S),1.25
2020-02-19,Casey (C),1.2424242424242424
2020-02-19,Darebin (C),1.4736842105263157
2020-02-19,Frankston (C),1.3448275862068966
2020-02-19,Glen Eira (C),1.4285714285714286
2020-02-19,Greater Dandenong (C),1.3125
2020-02-19,Hobsons Bay (C),1.4705882352941178
2020-02-19,Hume (C),1.25
2020-02-19,Kingston (C) (Vic.),1.3888888888888888
2020-02-19,Knox (C),1.4
2020-02-19,Manningham (C),1.368421052631579
2020-02-19,Maribyrnong (C),1.45
2020-02-19,Maroondah (C),1.3888888888888888
2020-02-19,Melbourne (C),1.4680851063829787
2020-02-19,Melton (C),1.3125
2020-02-19,Monash (C),1.35
2020-02-19,Moonee Valley (C),1.4
2020-02-19,Moreland (C),1.45
2020-02-19,Mornington Peninsula (S),1.2
2020-02-19,Port Phillip (C),1.3636363636363638
2020-02-19,Stonnington (C),1.434782608695652
2020-02-19,Whitehorse (C),1.4210526315789473
2020-02-19,Whittlesea (C),1.2647058823529411
2020-02-19,Wyndham (C),1.4242424242424243
2020-02-19,Yarra (C),1.4782608695652173
2020-02-19,average,1.364457903161851
2020-02-19,highSE,1.4083282272247355
2020-02-19,lowSE,1.324270085212101
2020-02-19,midSE,1.3809992717954827
2020-02-20,Banyule (C),1.4210526315789473
2020-02-20,Bayside (C),1.4615384615384617
2020-02-20,Boroondara (C),1.4444444444444444
2020-02-20,Brimbank (C),1.375
2020-02-20,Cardinia (S),1.2941176470588236
2020-02-20,Casey (C),1.3636363636363638
2020-02-20,Darebin (C),1.5
2020-02-20,Frankston (C),1.3225806451612903
2020-02-20,Glen Eira (C),1.4761904761904763
2020-02-20,Greater Dandenong (C),1.3636363636363638
2020-02-20,Hobsons Bay (C),1.4444444444444444
2020-02-20,Hume (C),1.375
2020-02-20,Kingston (C) (Vic.),1.4054054054054055
2020-02-20,Knox (C),1.3783783783783785
2020-02-20,Manningham (C),1.4210526315789473
2020-02-20,Maribyrnong (C),1.4878048780487805
2020-02-20,Maroondah (C),1.368421052631579
2020-02-20,Melbourne (C),1.4705882352941178
2020-02-20,Melton (C),1.3636363636363638
2020-02-20,Monash (C),1.425
2020-02-20,Moonee Valley (C),1.4390243902439024
2020-02-20,Moreland (C),1.4878048780487805
2020-02-20,Mornington Peninsula (S),1.3103448275862069
2020-02-20,Port Phillip (C),1.4444444444444444
2020-02-20,Stonnington (C),1.4680851063829787
2020-02-20,Whitehorse (C),1.4871794871794872
2020-02-20,Whittlesea (C),1.3529411764705883
2020-02-20,Wyndham (C),1.4705882352941178
2020-02-20,Yarra (C),1.469387755102041
2020-02-20,average,1.4133583934742842
2020-02-20,highSE,1.4446102612897034
2020-02-20,lowSE,1.3927802220457184
2020-02-20,midSE,1.414044500700443
2020-02-21,Banyule (C),1.45
2020-02-21,Bayside (C),1.3953488372093024
2020-02-21,Boroondara (C),1.4680851063829787
2020-02-21,Brimbank (C),1.3157894736842106
2020-02-21,Cardinia (S),1.2972972972972974
2020-02-21,Casey (C),1.3157894736842106
2020-02-21,Darebin (C),1.4761904761904763
2020-02-21,Frankston (C),1.2941176470588236
2020-02-21,Glen Eira (C),1.434782608695652
2020-02-21,Greater Dandenong (C),1.2972972972972974
2020-02-21,Hobsons Bay (C),1.4
2020-02-21,Hume (C),1.3157894736842106
2020-02-21,Kingston (C) (Vic.),1.4
2020-02-21,Knox (C),1.3658536585365852
2020-02-21,Manningham (C),1.3571428571428572
2020-02-21,Maribyrnong (C),1.4
2020-02-21,Maroondah (C),1.3902439024390243
2020-02-21,Melbourne (C),1.4339622641509435
2020-02-21,Melton (C),1.3333333333333333
2020-02-21,Monash (C),1.3409090909090908
2020-02-21,Moonee Valley (C),1.4
2020-02-21,Moreland (C),1.391304347826087
2020-02-21,Mornington Peninsula (S),1.2352941176470589
2020-02-21,Nillumbik (S),1.368421052631579
2020-02-21,Port Phillip (C),1.4166666666666667
2020-02-21,Stonnington (C),1.48
2020-02-21,Whitehorse (C),1.372093023255814
2020-02-21,Whittlesea (C),1.3157894736842106
2020-02-21,Wyndham (C),1.4444444444444444
2020-02-21,Yarra (C),1.4363636363636363
2020-02-21,average,1.3726577779775053
2020-02-21,highSE,1.4127671195269853
2020-02-21,lowSE,1.3478105380687289
2020-02-21,midSE,1.3695608480275463
2020-02-22,Banyule (C),1.1944444444444444
2020-02-22,Boroondara (C),1.15
2020-02-22,Brimbank (C),1.1
2020-02-22,Cardinia (S),1.1176470588235294
2020-02-22,Casey (C),1.1025641025641026
2020-02-22,Darebin (C),1.1395348837209303
2020-02-22,Frankston (C),1.1142857142857143
2020-02-22,Glen Eira (C),1.0952380952380953
2020-02-22,Greater Dandenong (C),1.1578947368421053
2020-02-22,Hobsons Bay (C),1.0909090909090908
2020-02-22,Hume (C),1.1111111111111112
2020-02-22,Kingston (C) (Vic.),1.1538461538461537
2020-02-22,Knox (C),1.1
2020-02-22,Manningham (C),1.1052631578947367
2020-02-22,Maribyrnong (C),1.0952380952380953
2020-02-22,Maroondah (C),1.1764705882352942
2020-02-22,Melbourne (C),1.127659574468085
2020-02-22,Melton (C),1.1052631578947367
2020-02-22,Monash (C),1.146341463414634
2020-02-22,Moonee Valley (C),1.1666666666666667
2020-02-22,Moreland (C),1.0909090909090908
2020-02-22,Mornington Peninsula (S),1.1764705882352942
2020-02-22,Port Phillip (C),1.1388888888888888
2020-02-22,Stonnington (C),1.1578947368421053
2020-02-22,Whitehorse (C),1.15
2020-02-22,Whittlesea (C),1.1578947368421053
2020-02-22,Wyndham (C),1.1
2020-02-22,Yarra (C),1.1052631578947367
2020-02-22,average,1.1282570036329773
2020-02-22,highSE,1.1355555368179875
2020-02-22,lowSE,1.117624843917635
2020-02-22,midSE,1.1369888802346653
2020-02-23,Banyule (C),1.0666666666666667
2020-02-23,Boroondara (C),1.15625
2020-02-23,Brimbank (C),1.0303030303030303
2020-02-23,Cardinia (S),1.0769230769230769
2020-02-23,Casey (C),1.0666666666666667
2020-02-23,Darebin (C),1.0857142857142856
2020-02-23,Frankston (C),1.0714285714285714
2020-02-23,Glen Eira (C),1.064516129032258
2020-02-23,Greater Dandenong (C),1.0
2020-02-23,Hume (C),1.0625
2020-02-23,Kingston (C) (Vic.),1.0344827586206897
2020-02-23,Knox (C),1.096774193548387
2020-02-23,Manningham (C),1.0666666666666667
2020-02-23,Maribyrnong (C),1.0625
2020-02-23,Maroondah (C),1.1428571428571428
2020-02-23,Melbourne (C),1.1
2020-02-23,Melton (C),1.0625
2020-02-23,Monash (C),1.0588235294117647
2020-02-23,Moonee Valley (C),1.064516129032258
2020-02-23,Moreland (C),1.0555555555555556
2020-02-23,Mornington Peninsula (S),1.2222222222222223
2020-02-23,Port Phillip (C),1.096774193548387
2020-02-23,Whitehorse (C),1.0588235294117647
2020-02-23,Whittlesea (C),1.0303030303030303
