date,name,mobility
2020-02-19,Penrith (C),1.3703703703703702
2020-02-19,Randwick (C),1.4
2020-02-19,Ryde (C),1.5405405405405406
2020-02-19,Strathfield (A),1.3421052631578947
2020-02-19,Sydney (C),1.4545454545454546
2020-02-19,The Hills Shire (A),1.5
2020-02-19,Waverley (A),1.4102564102564101
2020-02-19,Willoughby (C),1.45
2020-02-19,Woollahra (A),1.9444444444444444
2020-02-19,average,1.4342883378074074
2020-02-19,highSE,1.512366967425482
2020-02-19,lowSE,1.3818903284412776
2020-02-19,midSE,1.4659543731125169
2020-02-20,Bayside (A),1.4444444444444444
2020-02-20,Blacktown (C),1.4666666666666668
2020-02-20,Camden (A),1.3225806451612903
2020-02-20,Canada Bay (A),1.4146341463414633
2020-02-20,Canterbury-Bankstown (A),1.3870967741935485
2020-02-20,Central Coast (C) (NSW),1.25
2020-02-20,Cumberland (A),1.3870967741935485
2020-02-20,Fairfield (C),1.3333333333333333
2020-02-20,Georges River (A),1.4705882352941178
2020-02-20,Hornsby (A),1.4615384615384617
2020-02-20,Inner West (A),1.4222222222222223
2020-02-20,Ku-ring-gai (A),1.4285714285714286
2020-02-20,Liverpool (C),1.3333333333333333
2020-02-20,North Sydney (A),1.4375
2020-02-20,Northern Beaches (A),1.4210526315789473
2020-02-20,Parramatta (C),1.457142857142857
2020-02-20,Penrith (C),1.3333333333333333
2020-02-20,Randwick (C),1.3333333333333333
2020-02-20,Ryde (C),1.4615384615384617
2020-02-20,Strathfield (A),1.368421052631579
2020-02-20,Sydney (C),1.425531914893617
2020-02-20,The Hills Shire (A),1.4102564102564101
2020-02-20,Waverley (A),1.4545454545454546
2020-02-20,Willoughby (C),1.4390243902439024
2020-02-20,Woollahra (A),1.8888888888888888
2020-02-20,average,1.4034586780137925
2020-02-20,highSE,1.4586643837297568
2020-02-20,lowSE,1.3686698357527474
2020-02-20,midSE,1.4125510648197546
2020-02-21,Bayside (A),1.3783783783783785
2020-02-21,Blacktown (C),1.4333333333333333
2020-02-21,Camden (A),1.3333333333333333
2020-02-21,Canada Bay (A),1.4615384615384617
2020-02-21,Canterbury-Bankstown (A),1.2985074626865671
2020-02-21,Central Coast (C) (NSW),1.24
2020-02-21,Cumberland (A),1.3333333333333333
2020-02-21,Fairfield (C),1.2666666666666666
2020-02-21,Georges River (A),1.4
2020-02-21,Hawkesbury (C),1.3076923076923077
2020-02-21,Hornsby (A),1.4736842105263157
2020-02-21,Inner West (A),1.4883720930232558
2020-02-21,Ku-ring-gai (A),1.5
2020-02-21,Liverpool (C),1.3
2020-02-21,North Sydney (A),1.5609756097560976
2020-02-21,Northern Beaches (A),1.368421052631579
2020-02-21,Parramatta (C),1.4444444444444444
2020-02-21,Penrith (C),1.3703703703703702
2020-02-21,Randwick (C),1.4102564102564101
2020-02-21,Ryde (C),1.4615384615384617
2020-02-21,Strathfield (A),1.4615384615384617
2020-02-21,Sydney (C),1.4666666666666668
2020-02-21,The Hills Shire (A),1.4444444444444444
2020-02-21,Waverley (A),1.5454545454545454
2020-02-21,Willoughby (C),1.4285714285714286
2020-02-21,Woollahra (A),2.0
2020-02-21,average,1.3949482455712439
2020-02-21,highSE,1.4825303007978854
2020-02-21,lowSE,1.327923203903874
2020-02-21,midSE,1.439504614035963
2020-02-22,Bayside (A),1.0357142857142858
2020-02-22,Blacktown (C),1.0869565217391304
2020-02-22,Camden (A),1.1111111111111112
2020-02-22,Canterbury-Bankstown (A),1.1020408163265305
2020-02-22,Central Coast (C) (NSW),1.1111111111111112
2020-02-22,Cumberland (A),1.0833333333333333
2020-02-22,Fairfield (C),1.0869565217391304
2020-02-22,Georges River (A),1.1739130434782608
2020-02-22,Hornsby (A),1.0
2020-02-22,Inner West (A),1.0625
2020-02-22,Liverpool (C),1.0909090909090908
2020-02-22,Northern Beaches (A),1.0
2020-02-22,Parramatta (C),1.074074074074074
2020-02-22,Penrith (C),1.0
2020-02-22,Randwick (C),1.0
2020-02-22,Ryde (C),1.1071428571428572
2020-02-22,Strathfield (A),1.0625
2020-02-22,Sydney (C),1.0277777777777777
2020-02-22,The Hills Shire (A),1.08
2020-02-22,average,1.0696324812538274
2020-02-22,highSE,1.0232107178812049
2020-02-22,lowSE,1.0914435715787671
2020-02-22,midSE,1.0581657354251883
2020-02-23,Bayside (A),1.0344827586206897
2020-02-23,Blacktown (C),1.0
2020-02-23,Canterbury-Bankstown (A),1.037037037037037
2020-02-23,Central Coast (C) (NSW),1.0
2020-02-23,Cumberland (A),1.0
2020-02-23,Fairfield (C),1.04
2020-02-23,Georges River (A),1.0
2020-02-23,Hornsby (A),1.0
2020-02-23,Inner West (A),1.0666666666666667
2020-02-23,Liverpool (C),1.0
2020-02-23,Northern Beaches (A),1.0
2020-02-23,Parramatta (C),1.0
2020-02-23,Penrith (C),1.0909090909090908
2020-02-23,Randwick (C),1.0
2020-02-23,Ryde (C),1.0526315789473684
2020-02-23,Sydney (C),1.0
2020-02-23,The Hills Shire (A),1.0689655172413792
2020-02-23,average,1.0204884782870365
2020-02-23,highSE,1.020009239552763
2020-02-23,lowSE,1.0194685539360333
2020-02-23,midSE,1.0204960513987031
2020-02-24,Bayside (A),1.4848484848484849
2020-02-24,Blacktown (C),1.5
2020-02-24,Camden (A),1.4074074074074074
2020-02-24,Canada Bay (A),1.5142857142857142
2020-02-24,Canterbury-Bankstown (A),1.4150943396226414
2020-02-24,Central Coast (C) (NSW),1.2608695652173914
2020-02-24,Cumberland (A),1.3703703703703702
2020-02-24,Fairfield (C),1.32
2020-02-24,Georges River (A),1.5333333333333332
2020-02-24,Hawkesbury (C),1.391304347826087
